Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
ANATOLIY IVANOV,990772,9029712,WEN SHUN,UBHU8,Korsakov,Russia,(KM)* Ice1 (hull; machinery),,General cargo,01/12/2000,China,,,,1607,899,2491.000 t.,3381 t.,76.70 m.,76.70 m.,70.75 m.,11.60 m.,7.10 m.,5.30 m.,10.8,Diesel,Built ME: 1984 Country Construction: Japan The company has built ME: The number and power of ME: 1*920 Mark ME: 6Z280L-ET,,1 - Fixed pitched solid propeller,4,2* 64,,,,,"Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Digital selective calling receiver Enhanced group call receiver GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling) VHF radio-telephone station",1*2726,,,,1,4,,,12,,,,,"Diesel oil, Heavy oil",,ПТ,,,,"OOO ""AMUR INVEST""  Address: Russia, 690091 Vladivostok, pereulok Krasnoznamennyy, d. 5, kab. 3 IMO: 5945562 Email: amurinvestvl@gmail.com Company Website:","OOO ""AMUR INVEST""  Address: Russia, 690091 Vladivostok, pereulok Krasnoznamennyy, d. 5, kab. 3 IMO: 5945562 Email: amurinvestvl@gmail.com Company Website:","OOO ""AMUR INVEST""  Address: Russia, 690091 Vladivostok, pereulok Krasnoznamennyy, d. 5, kab. 3 IMO: 5945562 Email: amurinvestvl@gmail.com Company Website:",,
AMFITRITA,951227,9140097,VICTORIA-A,UBRT5,Korsakov,Russia,KM* (REF),,Refrigerated cargo ship,31/01/1996,Japan,3373,,,2736 MK-1969,1159 MK-1969,3050.000 t.,4687 t.,91.48 m.,91.48 m.,87.74 m.,14.50 m.,8.60 m.,5.50 m.,12.7,Diesel,Built ME: 1995 Country Construction: Japan The company has built ME: The number and power of ME: 1*1471 Mark ME: 6S26MC,,1 - Fixed pitched solid propeller,4,2* 388,,,-50,R22,"Automatic identification system with GLONASS Automatic radar plotting aids COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system with GLONASS Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,3* 4280,,,2,6,,,,Р 3 - 3.4*3.4,6*3.0,,609,Diesel oil,,,475,Cat1,38.0,"ROSFISHFLOT Co., LTD  Address: Russia, 693011 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Chekhova, d. 72, office 17 IMO: 5632161 Email: rosribflot@mail.ru; liam-m@mail.ru Company Website:","ROSFISHFLOT Co., LTD  Address: Russia, 693011 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Chekhova, d. 72, office 17 IMO: 5632161 Email: rosribflot@mail.ru; liam-m@mail.ru Company Website:","ROSFISHFLOT Co., LTD  Address: Russia, 693011 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Chekhova, d. 72, office 17 IMO: 5632161 Email: rosribflot@mail.ru; liam-m@mail.ru Company Website:","ROSFISHFLOT Co., LTD  Address: Russia, 693011 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Chekhova, d. 72, office 17 IMO: 5632161 Email: rosribflot@mail.ru; liam-m@mail.ru Company Website:","ROSFISHFLOT Co., LTD  Address: Russia, 693011 Sakhalinskaya obl., Yuzhno-Sakhalinsk, ul. Chekhova, d. 72, office 17 IMO: 5632161 Email: rosribflot@mail.ru; liam-m@mail.ru Company Website:"
ALPHA ATLANT,200021,9917464,,UBAV4,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS CONT(deck and cargo hold) BWM(T) DG(bulk) DG(pack)",,General cargo,23/12/2020,Russia,21,,,6305 MK-1969,3455 MK-1969,8152.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
ALPHA MERCURY,200036,9917983,,UBCV4,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS CONT(deck and cargo hold) BWM(T) DG(bulk) DG(pack)",,General cargo,11/12/2020,Russia,22,,,6305 MK-1969,3455 MK-1969,8144.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
VLADIMIR LATYSHEV,200040,9921996,,UBEV8,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS CONT(deck and cargo hold) BWM(T) DG(bulk) DG(pack)",,General cargo,28/05/2021,Russia,23,,,6305 MK-1969,3455 MK-1969,8133.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
VICTOR ANDRYUKHIN,200055,9922110,,UBIV4,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS CONT(deck and cargo hold) BWM(T) DG(bulk) DG(pack)",,General cargo,10/06/2021,Russia,24,,,6305 MK-1969,3455 MK-1969,8172.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
LEONID PESTRIKOV,200064,9922122,,UBJV2,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",,General cargo,07/07/2021,Russia,25,,,6305 MK-1969,3455 MK-1969,8151.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
NIKOLAI LEONOV,200089,9922134,,UBLV9,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",,General cargo,19/07/2021,Russia,26,,,6305 MK-1969,3455 MK-1969,8157.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
ALPHA HELIOS,200093,9924340,,UBJV2,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",,General cargo,08/07/2021,Russia,27,,,6305 MK-1969,3455 MK-1969,8161.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 332,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
ALPHA HERMES,200106,9924352,,UBDW5,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",,General cargo,24/08/2021,Russia,28,,,6305 MK-1969,3455 MK-1969,8163.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,1 - Fixed pitched solid propeller,4,2* 326,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
ALPHA AQUILON,200110,9924364,,UBGW8,Taganrog,Russia,"KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",,General cargo,08/09/2021,Russia,29,,,6305 MK-1969,3455 MK-1969,8168.000 t.,10812 t.,141.00 m.,141.00 m.,136.33 m.,16.98 m.,6.00 m.,4.70 m.,10.2,Diesel,Built ME: 2020 Country Construction: Finland The company has built ME: WARTSILA FINLAND OY The number and power of ME: 2*1200 Mark ME: W6L20,,2 - Fixed pitched solid propeller,4,2* 163,,,,,"Automatic identification system Automatic identification system with GLONASS Bridge navigational watch alarm system COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Electronic Chart Display and Navigational System Enhanced group call receiver Equipment of Long-range identification and Tracking of Ships Equipment of Long-range identification and Tracking of Ships with GLONASS GMDSS ship earth station GMDSS ship earth station with GLONASS Gyro-compass Heading or Track Control System (Autopilot) Log (any type) Magnetic compass MF/HF radio installation (MF/HF radio-telephone station with digital selective calling and telex) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue Ship security alert system Ship security alert system with GLONASS Sound reception system Two-way radio-telephone apparatus UHF Radio-telephone station VHF Radioinstallation (VHF radio-telephone station with digital selective calling) Voyage data recorder",1*2964 1*8441,,,248,1,5,,,,D 7 - 6.2*12.6D 9 - 6.2*12.6,,,426,"Diesel oil, Heavy oil",4711 m3,ПТ,766,Cat2,36.0,"Акционерное общество ""Государственная транспортная лизинговая компания""  Address: Russia, 125284 Moscow, Leningradskiy pr., d. 31a, str. 1 IMO: 5213962 Email: registr@gtlk.ru; gtlk@gtlk.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:","""Alfa"" LLC  Address: Russia, 344002 Rostov-na-Donu, per. Semashko, d. 71, lit. A IMO: 6177581 Email: info@oooalpha.ru Company Website:"
GELIY,200178,9899923,GELIY,UBLW6,Nakhodka,Russia,KM(*) Arc4 (hull) Ice3 (machinery) R1 AUT1 tug,,Tug,28/06/2021,China,512711,,,185,55,106.000 t.,446 t.,26.45 m.,25.50 m.,22.59 m.,9.54 m.,4.30 m.,3.45 m.,13.1,Diesel,Built ME: Country Construction: United States of America The company has built ME: The number and power of ME: 2*1305 Mark ME: 3512C,,2 - Swingning propeller unit,4,2* 86,,,,,"Automatic identification system with GLONASS COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Heading or Track Control System (Autopilot) Magnetic compass NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,,,,,,,62,Diesel oil,,,145,Cat2,17.5,"NAKHODKA MARINE TRADE PORT, JSC  Address: Russia, 692904 Primorskiy kr., Nakhodka, ul. Portovaya, d. 22 IMO: Email: ncsp@nmtport.ru; Company Website:","NAKHODKA MARINE TRADE PORT, JSC  Address: Russia, 692904 Primorskiy kr., Nakhodka, ul. Portovaya, d. 22 IMO: Email: ncsp@nmtport.ru; Company Website:",,,
