,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
217,МРС-150-075,173246,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,16/05/1988,Russia,075,,,61,18,24.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.00 m.,2.65 m.,1.60 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:","PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:",,,
218,МРС-150-077,173247,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,03/06/1988,Russia,,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: Country unknown The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:","RYBKHOLKAM LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, d. 23 IMO: Email: Company Website:",,,
219,МРС-150-084,173248,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,26/05/1989,,,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 2018 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:","RYBKHOLKAM LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, d. 23 IMO: Email: Company Website:",,,
220,МРС-150-089,173249,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,28/07/1989,Russia,089,,,61,18,24.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.18 m.,2.65 m.,1.60 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:","PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:",,,
221,МРС-150-094,173250,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,09/06/1990,Russia,094,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.60 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:","PC ""KOLHOZ OKTYABR""  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, ul. Atlasova, 23 IMO: Email: kolhozoktyabr@mail.ru Company Website:",,,
222,МРС-150-109,173252,,,UCHL,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,30/04/1992,Russia,,,,62,18,24.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.18 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
223,МРС-150-088,173263,,,UCGL,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,15/06/1989,Russia,088,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
224,МРС-150-224,173264,,,UHKV,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,16/05/1981,Russia,224,,,61,18,26.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD10C190-15,,1 - Fixed pitched solid propeller,4,1* 52,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
225,МРС-150-071,173278,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,22/04/1988,Russia,071,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass NAVTEX receiver Radio navigation system receiver Radio-telephone station Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"NACHIKINSKOE, LTD  Address: Russia, Petropavlovsk-Kamchatskiy, ul. Dalnyaya, 50-87 IMO: Email: Company Website:","NACHIKINSKOE, LTD  Address: Russia, Petropavlovsk-Kamchatskiy, ul. Dalnyaya, 50-87 IMO: Email: Company Website:",,,
226,МРС-150-080,173279,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,28/04/1989,Russia,080,,,61,18,24.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:","TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:",,,
227,МРС-150-297,173282,,,UGGY,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,22/04/1987,Russia,297,,,70,21,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,0.0,Diesel,Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RPZ ""Maksimovskiy"" LLC  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, Prospekt Pobedy, d.69 IMO: Email: east_coast@mail.ru Company Website:","RPZ ""Maksimovskiy"" LLC  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, Prospekt Pobedy, d.69 IMO: Email: east_coast@mail.ru Company Website:",,,
228,МРС-150-099,173283,,,UDBC,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,15/05/1991,Russia,,,,61,18,22.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
229,МРС-150-100,173284,,,UDBB,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,23/05/1991,Russia,,,,61,18,22.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 2020 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
230,МРС-150-101,173285,,,UDBL,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,28/05/1991,Russia,,,,61,18,21.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
231,МРС-150-102,173286,,,UDAZ,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,31/05/1991,Russia,,,,61,18,22.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
232,МРС-150-105,173295,,,UDLR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,24/07/1991,Russia,,,,61,0,18.000 t.,0 t.,21.94 m.,21.94 m.,18.74 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 54,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"VITYAZ-AVTO LTD  Address: Russia, 683031 Petropalovsk-Kamchatskiy, ul. Toporkova, d.9/2 IMO: Email: secretar.va@gmail.com; flot@vityaz-avto.ru Company Website:","VITYAZ-AVTO LTD  Address: Russia, 683031 Petropalovsk-Kamchatskiy, ul. Toporkova, d.9/2 IMO: Email: secretar.va@gmail.com; flot@vityaz-avto.ru Company Website:",,,
233,МРС-150-125,173296,,,UBBR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,31/07/1993,Russia,,,,61,22,24.000 t.,0 t.,21.94 m.,21.94 m.,0.00 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD615.C-22,,1 - Fixed pitched solid propeller,4,1* 54,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"VITYAZ-AVTO LTD  Address: Russia, 683031 Petropalovsk-Kamchatskiy, ul. Toporkova, d.9/2 IMO: Email: secretar.va@gmail.com; flot@vityaz-avto.ru Company Website:","VITYAZ-AVTO LTD  Address: Russia, 683031 Petropalovsk-Kamchatskiy, ul. Toporkova, d.9/2 IMO: Email: secretar.va@gmail.com; flot@vityaz-avto.ru Company Website:",,,
234,МРС-150-114,173301,,,UGAX,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,03/07/1992,Russia,,,,62,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,0.00 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
235,МРС-150-106,173314,,,UDAW,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,12/07/1991,,,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,0.00 m.,6.00 m.,2.65 m.,1.59 m.,9.5,Diesel,,,1 - Fixed pitched solid propeller,0,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:","RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:",,,
236,МРС-150-060,173324,,,,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/04/1986,Russia,060,,,62,18,25.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
237,МРС-150-062,173325,,,UEWR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,23/05/1986,Russia,062,,,62,18,23.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.00 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 2015 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,2*0.9,,0,,0 m3,,0,,0.0,"OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:","OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:",,,
238,МРС-150-066,173326,,,UFAB,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,22/05/1987,Russia,066,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 2020 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"ARTEL NADODY SEVERA CO LTD  Address: Russia, 683024, Petropavlovsk-Kamchatskiy, pr.Rybakov 4 (pervyy etazh) IMO: Email: c.shljapin@mail.ru Company Website:","ARTEL NADODY SEVERA CO LTD  Address: Russia, 683024, Petropavlovsk-Kamchatskiy, pr.Rybakov 4 (pervyy etazh) IMO: Email: c.shljapin@mail.ru Company Website:",,,
239,МРС-150-067,173327,,,UHVX,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,26/05/1987,Russia,067,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 2020 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
240,МРС-150-074,173328,,,UEUO,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,16/05/1988,Russia,074,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 2011 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:","OKTYABRSKIY RYBOKOMBINAT LTD  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Toporkova, 10 IMO: Email: okt.rk61@mail.ru Company Website:",,,
